dd,        1.58496,           1131
dd,        63.8538,           2669
dd,        63.0057,          15914
dd,        4.64386,          49510
dd,        61.9076,            715
dd,        38.8699,          10211
dd,        63.9996,           3232
dd,          51.52,            354
dd,        7.25739,            129
dd,             63,          14419
dd,         62.576,           2928
dd,        52.7414,            695
dd,        63.5725,          11874
dd,        4.52356,            549
dd,        16.0693,           2132
dd,        63.5802,          16017
dd,        61.9867,            114
dd,        59.9294,            735
dd,        12.5653,            636
dd,        63.9933,           6777
dd,        19.3774,             94
dd,        38.2351,          15502
dd,              1,            391
dd,        2.32193,           1060
dd,        61.9196,            700
dd,        55.2286,            356
dd,             16,          10922
dd,        63.5725,           8127
